template_id,label,content,explanation
38,normal,instruction address space.........0,指令地址空间标识为0，属于正常内存地址空间配置
39,normal,data address space................0,数据地址空间标识为0，属于正常内存地址空间配置
40,normal,core configuration register: 0x00002000,核心配置寄存器值为0x00002000，核心功能配置正常，无异常参数
41,normal,disable store gathering..................0,存储聚合功能启用（值为0），数据存储效率优化功能正常
42,normal,disable apu instruction broadcast........0,APU指令广播功能启用（值为0），辅助处理单元指令同步正常
43,normal,disable trace broadcast..................0,跟踪广播功能启用（值为0），系统运行跟踪数据传输正常
44,normal,guaranteed instruction cache block touch.0,指令缓存块强制访问功能禁用（值为0），属于正常缓存管理配置
45,normal,force load/store alignment...............0,加载/存储对齐强制功能禁用（值为0），内存访问地址对齐配置正常
46,normal,icache prefetch threshold................0,指令缓存预取阈值为0，缓存预取策略正常配置
47,normal,general purpose registers,通用寄存器状态输出，记录当前寄存器数据，无异常标识
48,normal,0:00000000 1:00085fd0 2:1eeeeeee 3:0000000b,通用寄存器0-3的数值分别为0x00000000、0x00085fd0、0x1eeeeeee、0x0000000b，寄存器数据正常，无异常值
51,normal,12:28244842 13:1eeeeeee 14:ffffffff 15:0009def3,通用寄存器12-15的数值分别为0x28244842、0x1eeeeeee、0xffffffff、0x0009def3，寄存器数据正常，无异常值
52,normal,16:00000000 17:00000000 18:001e7ea0 19:ffffffff,通用寄存器16-19的数值分别为0x00000000、0x00000000、0x001e7ea0、0xffffffff，寄存器数据正常，无异常值
53,normal,20:00000000 21:1feaa7b0 22:00000000 23:00000000,通用寄存器20-23的数值分别为0x00000000、0x1feaa7b0、0x00000000、0x00000000，寄存器数据正常，无异常值
56,normal,special purpose registers,特殊功能寄存器状态输出，记录系统关键控制参数，无异常标识
58,anomaly,rts panic! - stopping execution,实时系统（rts）触发恐慌机制并停止执行，表明系统发生致命错误（可能涉及内核崩溃、硬件故障或关键资源耗尽），属于严重系统级异常，导致程序终止运行
59,normal,1 torus receiver x- input pipe error(s) (dcr 0x02ed) detected and corrected,检测到1次环面接收器X-方向输入管道错误（DCR寄存器值0x02ed），已通过硬件纠错修复，属于通信链路正常容错处理
60,normal,data address: 0x00000002,数据地址为0x00000002，属于程序执行过程中的正常数据访问地址输出
61,normal,4:0000000e 5:000865b0 6:1fea7b68 7:00089478,通用寄存器4-7的数值分别为0x0000000e、0x000865b0、0x1fea7b68、0x00089478，寄存器数据正常，无异常值
62,normal,8:7c1b0040 9:00000000 10:00090000 11:0000003c,通用寄存器8-11的数值分别为0x7c1b0040、0x00000000、0x00090000、0x0000003c，寄存器数据正常，无异常值
63,normal,16:00000000 17:00089b10 18:001e7ea0 19:00000001,通用寄存器16-19的数值分别为0x00000000、0x00089b10、0x001e7ea0、0x00000001，寄存器数据正常，无异常值
64,normal,20:00008000 21:001e7e94 22:00250000 23:00000026,通用寄存器20-23的数值分别为0x00008000、0x001e7e94、0x00250000、0x00000026，寄存器数据正常，无异常值
65,normal,24:00000000 25:0000000e 26:000865b0 27:00089ae0,通用寄存器24-27的数值分别为0x00000000、0x0000000e、0x000865b0、0x00089ae0，寄存器数据正常，无异常值
66,normal,28:48000848 29:00000008 30:0000000e 31:000865b0,通用寄存器28-31的数值分别为0x48000848、0x00000008、0x0000000e、0x000865b0，寄存器数据正常，无异常值
67,normal,lr:0000d9ac cr:48000828 xer:00000002 ctr:0000e248,链接寄存器（lr）、条件寄存器（cr）、异常寄存器（xer）、计数寄存器（ctr）数值正常，无异常标识
68,normal,rts internal error,实时系统（rts）内部错误，未触发执行停止，属于轻微内部异常，需关注后续是否重复出现
70,normal,16:00000000 17:00000000 18:001e7ea0 19:ffffffff,通用寄存器16-19的数值分别为0x00000000、0x00000000、0x001e7ea0、0xffffffff，寄存器数据正常，无异常值
71,normal,ciod: Message code 0 is not 51 or 4294967295,ciod进程接收的消息代码0不符合预期的51或4294967295，属于消息格式轻微错误，未影响进程运行
72,normal,ciod: pollControlDescriptors: Detected the debugger died.,ciod进程通过pollControlDescriptors检测到调试器已终止，属于调试工具状态变更，无系统核心功能影响
73,normal,"ciod: for node 39, read continuation request but ioState is 0",ciod进程为节点39读取继续请求时，发现I/O状态为0（未就绪），属于正常I/O状态同步延迟，无故障关联
74,normal,ciod: cpu 0 at treeaddr 222 sent unrecognized message 0xffffffff,节点222的CPU 0发送未识别的消息0xffffffff至ciod进程，属于通信消息格式异常，未触发系统中断
75,anomaly,machine check interrupt (bit=0x1d): L2 dcache unit data parity error,机器检查中断触发（位标识0x1d），具体为L2数据缓存单元数据奇偶校验错误，表明缓存数据完整性受损，属于硬件类存储组件异常，可能导致数据读取错误或程序运行异常
76,normal,0:00001580 1:1feaa6e0 2:1eeeeeee 3:00000000,通用寄存器0-3的数值分别为0x00001580、0x1feaa6e0、0x1eeeeeee、0x00000000，寄存器数据正常，无异常值
82,normal,lr:00015d74 cr:48002244 xer:00000002 ctr:00000000,链接寄存器（lr）、条件寄存器（cr）、异常寄存器（xer）、计数寄存器（ctr）数值正常，无异常标识
83,normal,ciod: LOGIN open(/bgl/apps/scaletest/performance/linpack-64x512/) failed: Permission denied,ciod进程登录时尝试打开指定目录失败，原因是权限不足，属于文件权限配置问题，非系统异常
84,anomaly,machine check interrupt (bit=0x06): L3 major internal error,机器检查中断触发（位标识0x06），具体为L3缓存重大内部错误，表明L3缓存核心功能故障，无法通过硬件纠错修复，属于严重硬件类存储异常，可能导致系统性能大幅下降或程序崩溃
85,normal,L3 global control register: 0x001249f0,L3全局控制寄存器值为0x001249f0，缓存控制参数配置正常，无异常设置
86,normal,start prefetching........................0,预取功能禁用（值为0），属于L3缓存正常预取策略配置
87,normal,disable speculative access...............0,推测访问功能启用（值为0），缓存访问优化功能正常
88,normal,close EDRAM pages as soon as possible....0,EDRAM页面快速关闭功能禁用（值为0），属于正常内存管理配置
89,normal,size of scratchpad portion of L3.........0 (0M),L3缓存的暂存区大小为0M，属于正常缓存分区配置
90,normal,disable all access to cache directory....0,缓存目录全访问禁用功能关闭（值为0），缓存目录访问正常
91,normal,write buffer commit threshold............2,写缓冲区提交阈值为2，属于正常I/O优化配置
92,normal,size of DDR we are caching...............1 (512M),缓存的DDR内存大小为512M，属于正常内存缓存配置
93,normal,prefetch depth for core 0................1,核心0的预取深度为1，属于正常缓存预取配置
94,normal,max number of outstanding prefetches.....7,最大未完成预取数为7，属于正常缓存性能优化配置
95,normal,turn on hidden refreshes.................1,隐藏刷新功能启用（值为1），内存刷新机制正常激活
96,normal,disable write lines 2:4..................0,2-4号线写功能启用（值为0），内存总线写操作正常
97,normal,capture first directory correctable error address..0,首次目录可纠正错误地址捕获功能禁用（值为0），属于正常错误日志配置
98,normal,disable flagging of DDR UE's as major internal error.0,DDR不可纠正错误（UE）标记为重大内部错误的功能启用（值为0），错误分级机制正常
99,normal,correctable error detected in directory 1......0,目录1检测到的可纠正错误数为0，缓存目录数据完整性正常
100,normal,uncorrectable error detected in directory 0....0,目录0检测到的不可纠正错误数为0，缓存目录功能正常
101,normal,correctable error detected in EDRAM bank 0.....0,EDRAM Bank 0检测到的可纠正错误数为0，EDRAM存储单元正常
102,normal,uncorrectable error detected in EDRAM bank 1...0,EDRAM Bank 1检测到的不可纠正错误数为0，EDRAM存储单元正常
103,normal,parity error in bank 1.........................0,Bank 1的奇偶校验错误数为0，存储单元数据完整性正常
104,normal,parity error in read queue 0...................0,读队列0的奇偶校验错误数为0，数据读取通道正常
105,normal,number of correctable errors detected in L3 directories...0,L3目录累计检测到的可纠正错误数为0，缓存目录正常
106,normal,interrupt threshold...0,中断阈值为0，属于正常中断触发配置
107,normal,number of lines with parity errors written to L3 EDRAMs...0,写入L3 EDRAM的带奇偶校验错误的行数为0，数据写入完整性正常
108,anomaly,DDR machine check register: 0x00000000 0x00010000,DDR内存机器检查寄存器值为0x00000000 0x00010000，寄存器标识DDR内存存在硬件级故障，属于内存核心组件异常，可能导致内存访问失败或数据丢失
109,normal,memory and bus summary...........................0,内存和总线汇总错误数为0，内存总线传输功能正常
110,normal,command manager unit summary.....................0,命令管理单元汇总错误数为0，命令执行管理功能正常
111,normal,memory manager refresh contention................0,内存管理器刷新冲突数为0，内存刷新机制正常
112,normal,memory manager store buffer parity...............0,内存管理器存储缓冲区奇偶校验错误数为0，存储缓冲区数据正常
113,normal,memory manager refresh...........................0,内存管理器刷新错误数为0，内存刷新操作正常
114,normal,state machine....................................0,状态机错误数为0，系统状态转换机制正常
115,normal,memory manager / command manager address parity..0,内存管理器/命令管理器地址奇偶校验错误数为0，地址传输完整性正常
116,normal,regctl scancom interface.........................0,寄存器控制扫描通信接口错误数为0，接口通信正常
117,normal,DDR failing info register: 0x00000000,DDR故障信息寄存器值为0x00000000，无故障信息记录，DDR内存状态正常
118,normal,capture valid.........0,有效捕获标识为0，属于正常故障捕获状态
121,normal,miscompare............0,比较不一致错误数为0，数据校验功能正常
122,normal,uncorrectable error...0,不可纠正错误数为0，系统纠错机制正常
123,normal,address parity error..0,地址奇偶校验错误数为0，地址传输完整性正常
124,normal,correctable error.....0,可纠正错误数为0，系统无需要纠错的异常
125,normal,qw trapped............0,四字捕获错误数为0，数据捕获功能正常
126,normal,chip select...........0,芯片选择错误数为0，芯片选通功能正常
127,normal,DDR failing data registers: 0x00000000 0x00000000,DDR故障数据寄存器值均为0x00000000，无故障数据记录，DDR内存正常
128,normal,0x00000000 0x00000000,寄存器数值为0x00000000 0x00000000，属于正常状态输出
129,normal,DDR failing address register: 0x00000000 0x00000000,DDR故障地址寄存器值均为0x00000000，无故障地址记录，DDR内存正常
137,normal,"PrepareForService shutting down NodeCard(mLctn(R23-M0-NF), mCardSernum(203231503833343000000000594c31304b34333336303438), mLp(FF:F2:9F:16:D1:66:00:0D:60:E9:2E:99), mIp(10.2.1.232), mType(4)) as part of Service Action 338",服务操作338执行期间，关闭节点卡（位置R23-M0-NF，序列号203231503833343000000000594c31304b34333336303438），属于正常维护操作，无故障关联
138,normal,EndServiceAction is restarting the NodeCards in midplane R74-M1 as part of Service Action 422,服务操作422执行期间，重启中板R74-M1中的所有节点卡，属于维护后正常重启流程，节点卡状态恢复正常
139,normal,EndServiceAction 233 performed upon R02-M1-N0 by root,管理员root在R02-M1-N0节点执行服务操作233，操作执行完成，无异常反馈
140,normal,Node card is not fully functional,节点卡未完全功能化，可能处于部分启动或维护状态，未触发故障告警，属于正常状态过渡
141,normal,Can not get assembly information for node card,无法获取节点卡的组装信息，属于信息读取失败，未影响节点卡功能运行
142,normal,Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The 2.5 volt rail is OK. The 1.5 volt rail is OK.,节点卡状态：无活跃告警，时钟模式为低功耗，时钟选择中板，物理JTAG和ASIC JTAG复位已断言，无温度错误，2.5V和1.5V电源轨正常，但PGOOD和MPGOOD状态异常（错误锁存激活），属于电源状态轻微异常，未影响核心功能
143,normal,"Node card VPD check: U11 node in processor card slot J06 do not match. VPD ecid 04CC80924E2FFFFF0A0C1AD08ED2, found 04D58073172FFFFF07021AE0CED3",节点卡VPD校验：处理器插槽J06的U11节点ECID不匹配（预期04CC80924E2FFFFF0A0C1AD08ED2，实际04D58073172FFFFF07021AE0CED3），属于硬件标识不一致，未影响节点运行
148,normal,16:00000c00 17:00000001 18:00000000 19:00000000,通用寄存器16-19的数值分别为0x00000c00、0x00000001、0x00000000、0x00000000，寄存器数据正常，无异常值
169,normal,14 torus processor sram reception error(s) (dcr 0x02fc) detected and corrected,检测到14次环面处理器SRAM接收错误（DCR寄存器值0x02fc），均已通过硬件纠错修复，属于SRAM正常容错处理
170,normal,SRAM correctable errors exceeds threshold (iar 0xc0005064 lr 0xc0005070),SRAM可纠正错误超出阈值（指令地址0xc0005064，链接地址0xc0005070），系统提示错误累积，需关注但未触发故障
189,normal,Starting SystemController,系统控制器启动中，属于系统初始化正常流程
190,normal,Controlling BG/L rows [ 0 1 2 3 ],系统控制器管理BG/L系统0-3行节点，属于正常节点管理配置
191,normal,Running as background command,命令以后台模式运行，属于正常程序执行模式配置
192,normal,data storage interrupt,数据存储中断，属于正常数据存储流程中的中断事件，无故障关联
192,anomaly,data storage interrupt,数据存储中断异常触发，表明数据写入/读取过程中发生不可恢复错误，导致存储操作中断，属于硬件类存储异常，可能导致数据丢失或存储设备故障
193,normal,exception syndrome register: 0x00800000,异常综合征寄存器值为0x00800000，记录异常特征，无严重故障标识
194,normal,machine check: i-fetch......................0,指令获取相关机器检查错误数为0，指令获取功能正常
195,normal,program interrupt: privileged instruction...0,特权指令相关程序中断数为0，特权指令执行正常
196,normal,floating point operation....................0,浮点运算相关中断数为0，浮点运算功能正常
197,normal,store operation.............................1,存储操作相关中断数为1，属于正常存储中断统计
198,normal,data store interrupt caused by dcbf.........0,DCBF指令导致的数据存储中断数为0，数据缓存操作正常
199,normal,auxiliary processor.........................0,辅助处理器相关中断数为0，辅助处理器功能正常
200,normal,byte ordering exception.....................0,字节序异常数为0，数据字节序处理正常
201,normal,program interrupt: fp cr update.............0,浮点控制寄存器更新相关程序中断数为0，浮点控制配置正常
202,normal,program interrupt: fp cr field .............0,浮点控制寄存器字段相关程序中断数为0，浮点控制字段访问正常
203,normal,0:000008ce 1:00086000 2:1eeeeeee 3:1feaa770,通用寄存器0-3的数值分别为0x000008ce、0x00086000、0x1eeeeeee、0x1feaa770，寄存器数据正常，无异常值
204,normal,4:000008ce 5:ffffffff 6:00000038 7:00086590,通用寄存器4-7的数值分别为0x000008ce、0xffffffff、0x00000038、0x00086590，寄存器数据正常，无异常值
205,normal,8:00000004 9:4e800020 10:3ed4bd98 11:6b26bf88,通用寄存器8-11的数值分别为0x00000004、0x4e800020、0x3ed4bd98、0x6b26bf88，寄存器数据正常，无异常值
206,normal,24:1feaa7a0 25:00284538 26:00230000 27:00320000,通用寄存器24-27的数值分别为0x1feaa7a0、0x00284538、0x00230000、0x00320000，寄存器数据正常，无异常值
207,normal,28:1feaa7b0 29:00000001 30:000008ce 31:1feaa790,通用寄存器28-31的数值分别为0x1feaa7b0、0x00000001、0x000008ce、0x1feaa790，寄存器数据正常，无异常值
208,normal,lr:00004ed0 cr:28244842 xer:20000002 ctr:00086000,链接寄存器（lr）、条件寄存器（cr）、异常寄存器（xer）、计数寄存器（ctr）数值正常，无异常标识
216,normal,external input interrupt (unit=0x02 bit=0x0c): torus sender y- retransmission error was corrected,外部输入中断（单元0x02，位0x0c）：环面发送器Y-方向重传错误已纠正，属于通信链路正常容错处理
217,normal,external input interrupt (unit=0x01 bit=0x09): number of corrected SRAM errors has exceeded threshold,外部输入中断（单元0x01，位0x09）：SRAM可纠正错误数超出阈值，属于错误统计告警，无故障触发
218,normal,suppressing further interrupts of same type,抑制同类中断的进一步上报，属于系统中断风暴防护机制，正常触发
219,normal,symbol................0,符号标识为0，属于正常系统标识输出
220,normal,mask..................0x00,掩码值为0x00，属于正常配置参数输出
229,normal,lr:0047ac14 cr:20000022 xer:20000002 ctr:00000000,链接寄存器（lr）、条件寄存器（cr）、异常寄存器（xer）、计数寄存器（ctr）数值正常，无异常标识
230,normal,Ido chip status changed: FF:F2:9F:16:E3:83:00:0D:60:E9:1C:7C ip=10.0.0.250 v=13 t=4 status=M Tue Sep 20 09:28:22 PDT 2005,Ido芯片状态变更（IP：10.0.0.250，版本13，类型4，状态M），变更时间为2005年9月20日，属于芯片正常状态切换
259,normal,"While initializing node card iDo machine with LP of FF:F2:9F:16:DE:10:00:0D:60:E9:21:EF caught java.io.IOException: Could not contact iDo with LP=FF:F2:9F:16:DE:10:00:0D:60:E9:21:EF and IP=/10.3.1.112 because java.lang.RuntimeException: Communication error: (DirectIDo for Uninitialized DirectIDo for FF:F2:9F:16:DE:10:00:0D:60:E9:21:EF@/10.3.1.112:0 is in state = COMMUNICATION_ERROR, sequenceNumberIsOk = false, ExpectedSequenceNumber = 0, Reply Sequence Number = -1, timedOut = true, retries = 200, timeout = 1000, Expected Op Command = 5, Actual Op Reply = -1, Expected Sync Command = 10, Actual Sync Reply = -1): 初始化LP为FF:F2:9F:16:DE:10:00:0D:60:E9:21",EF的节点卡Ido机器时，捕获IO异常：无法通过IP=/10.3.1.112连接Ido芯片，原因是通信错误（状态为COMMUNICATION_ERROR，超时重试200次失败），属于初始化阶段通信临时故障
264,normal,16:00000006 17:00001234 18:00088804 19:00089b08,通用寄存器16-19的数值分别为0x00000006、0x00001234、0x00088804、0x00089b08，寄存器数据正常，无异常值
265,normal,20:00000009 21:ffffffff 22:00000008 23:00000000,通用寄存器20-23的数值分别为0x00000009、0xffffffff、0x00000008、0x00000000，寄存器数据正常，无异常值
266,normal,24:00082d90 25:00000008 26:fffffff4 27:00040000,通用寄存器24-27的数值分别为0x00082d90、0x00000008、0xfffffff4、0x00040000，寄存器数据正常，无异常值
269,normal,ciod: Unexpected eof at line 8193 of node map file /p/gb2/cabot/miranda/newmaps/8k_128x64x1_8x4x4.map,ciod进程读取节点映射文件时遇到意外文件结束（第8193行），属于文件格式轻微错误，未影响进程运行
270,normal,ciod: Error creating node map from file /home/williams/miranda/src/vx_32k_256x256x1_8x4x4.map: Bad file descriptor,ciod进程从指定文件创建节点映射失败，原因是文件描述符无效，属于文件操作错误
270,anomaly,ciod: Error creating node map from file /home/auselton/bgl/64mps.sequential.mapfile: Resource temporarily unavailable,ciod进程从/home/auselton/bgl/64mps.sequential.mapfile创建节点映射失败，原因是资源暂时不可用（可能涉及文件占用、内存不足或IO资源耗尽），属于系统资源分配异常，导致节点映射创建失败，影响节点配置流程
271,normal,"ddr: Unable to steer rank=0, symbol=0 - rank is already steering symbol 2. Due to multiple symbols being over the correctable error threshold, consider replacing the card",DDR内存无法将0秩0符号导向冗余位（该秩已导向2符号），因多个符号超出可纠正错误阈值，系统建议更换硬件卡，当前仍可运行但硬件状态退化
272,normal,"error threshold, consider replacing the card",错误阈值提示，建议更换硬件卡，属于系统硬件状态预警，无即时故障
273,normal,"ddr: Unable to steer rank=0, symbol=10 - rank is already steering symbol 8. Due to multiple symbols being over the correctable error threshold, consider replacing the card",DDR内存无法将0秩10符号导向冗余位（该秩已导向8符号），因多个符号超出可纠正错误阈值，系统建议更换硬件卡，当前仍可运行但硬件状态退化
274,normal,"error threshold, consider replacing the card",错误阈值提示，建议更换硬件卡，属于系统硬件状态预警，无即时故障
284,normal,24:00000000 25:ffffc000 26:00000000 27:00000000,通用寄存器24-27的数值分别为0x00000000、0xffffc000、0x00000000、0x00000000，寄存器数据正常，无异常值
287,normal,"PrepareForService is being done on this part (mLctn(R63-M0-NE), mCardSernum(203231503833343000000000594c31304b34333435303433), mLp(FF:F2:9F:16:C7:AC:00:0D:60:E9:38:53), mIp(10.6.2.186), mType(4)) by root",管理员root对部件（位置R63-M0-NE，序列号203231503833343000000000594c31304b34333435303433）执行预处理服务，属于正常维护操作
288,normal,"ciod: Error loading /home/rfisher/sodscaling/flash2: program image too big, 381013696 > 266076160",ciod进程加载程序时失败，原因是程序镜像过大（381013696字节超出最大限制266076160字节），属于程序配置错误
289,normal,critical input interrupt (unit=0x0b bit=0x0f): warning for tree A1 wire,关键输入中断（单元0x0b，位0x0f）：树状网络A1线路警告，属于通信链路预警，无故障触发
290,normal,job 23109 timed out. Block freed.,任务23109超时，对应的区块已释放，属于任务调度正常超时处理
295,normal,program interrupt,程序中断，属于正常程序执行流程中的中断事件，无故障关联
295,anomaly,program interrupt,程序中断异常触发，表明程序执行过程中遇到不可恢复错误（如非法指令、内存访问越界），导致程序强制中断，属于软件类执行异常，影响任务正常完成
298,normal,ciod: duplicate canonical-rank 31 to logical-rank 0 mapping at line 3 of node map file /p/gb2/pakin1/sweep3d-5x5x400-10mk-3mmi-1024pes-sweep/sweep.map,ciod进程读取节点映射文件时发现重复映射（规范秩31映射至逻辑秩0），属于文件配置错误，未影响节点通信
299,normal,2354412 floating point alignment exceptions,累计出现2354412次浮点对齐异常，属于程序兼容性问题，未导致程序终止
302,normal,"Problem communicating with node card, iDo machine with LP of FF:F2:9F:16:C4:59:00:0D:60:E9:3B:A6 caught java.lang.IllegalStateException: while executing CONTROL Operation caught java.lang.RuntimeException: Communication error: (DirectIDo for com.ibm.ido.DirectIDo object [FF:F2:9F:16:C4:59:00:0D:60:E9:3B:A6@/10.2.0.76:0 with image version 13 and card type 4] is in state = COMMUNICATION_ERROR, sequenceNumberIsOk = false, ExpectedSequenceNumber = 0, Reply Sequence Number = -1, timedOut = true, retries = 200, timeout = 1000, Expected Op Command = 2, Actual Op Reply = -1, Expected Sync Command = 8, Actual Sync Reply = -1): 与LP为FF:F2:9F:16:C4:59:00:0D:60:E9:3B",A6的节点卡Ido机器通信失败，捕获非法状态异常：执行控制操作时遇到通信错误（状态为COMMUNICATION_ERROR，超时重试200次失败），属于通信临时故障
304,normal,Node card status: no ALERTS are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. THE 2.5 VOLT RAIL IS NOT OK. THE 1.5 VOLT RAIL IS NOT OK.,节点卡状态：无活跃告警，时钟模式为低功耗，时钟选择中板，物理JTAG和ASIC JTAG复位已断言，无温度错误，但PGOOD和MPGOOD状态异常（错误锁存激活），2.5V和1.5V电源轨异常，属于电源供应轻微故障，未完全影响节点功能
306,normal,NodeCard power module U70 is not accessible,节点卡电源模块U70无法访问，属于电源模块状态读取失败，未影响模块供电
312,normal,Target=ido://FF:F2:9F:16:E8:83:00:0D:60:E9:17:7C/JTAG/0 Message=Invalid JtagId = ffffffff: JTAG目标设备（ido://FF:F2:9F:16:E8:83:00:0D:60:E9:17,7C/JTAG/0）的JtagId无效（0xffffffff），属于JTAG配置错误，无硬件故障
313,anomaly,MailboxMonitor::serviceMailboxes() lib_ido_error: -1019 socket closed,邮箱监控器执行serviceMailboxes()函数时触发lib_ido_error错误（错误码-1019），原因是套接字关闭，属于通信链路异常，导致邮箱消息传输中断，影响节点间通信
