content,event_id,template,label
- 1511 2005.10.19 R17-M0-N0-I:J18-U01 2005-10-19-08.08.40.058960 R17-M0-N0-I:J18-U01 RAS KERNEL INFO shutdown complete,E113,shutdown complete,normal
- 251 2005.06.14 R20-M0-NF-C:J07-U01 2005-06-14-10.37.05.332040 R20-M0-NF-C:J07-U01 RAS KERNEL FATAL store operation.............................1,E116,store operation.............................<*>,normal
- 1495 2005.10.13 R06-M1-NA-C:J08-U11 2005-10-13-23.30.39.273604 R06-M1-NA-C:J08-U11 RAS KERNEL INFO suppressing further interrupts of same type,E117,suppressing further interrupts of same type,normal
- 1400 2005.09.12 R20-M1-N8-C:J13-U11 2005-09-12-05.03.49.910676 R20-M1-N8-C:J13-U11 RAS KERNEL INFO suppressing further interrupts of same type,E117,suppressing further interrupts of same type,normal
- 1235 2005.08.10 R14-M1-N0-C:J07-U11 2005-08-10-07.58.57.502279 R14-M1-N0-C:J07-U11 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected,E118,total of <*> ddr error(s) detected and corrected,normal
- 1484 2005.10.08 R53-M1-NB-C:J13-U01 2005-10-08-21.39.02.618861 R53-M1-NB-C:J13-U01 RAS KERNEL INFO total of 12 ddr error(s) detected and corrected,E118,total of <*> ddr error(s) detected and corrected,normal
- 1986 2005.12.18 R13-M1-N1-C:J03-U01 2005-12-18-17.15.03.147145 R13-M1-N1-C:J03-U01 RAS KERNEL INFO total of 3 ddr error(s) detected and corrected over 8732 seconds,E119,total of <*> ddr error(s) detected and corrected over <*> seconds,normal
- 1945 2005.12.04 R06-M1-N6-C:J08-U01 2005-12-04-09.04.28.582086 R06-M1-N6-C:J08-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected over 2487 seconds,E119,total of <*> ddr error(s) detected and corrected over <*> seconds,normal
"- 1865 2005.12.01 R14-M1-NA-C:J11-U11 2005-12-01-08.29.42.047463 R14-M1-NA-C:J11-U11 RAS KERNEL INFO 10738 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",E12,"<*> total interrupts. 0 critical input interrupts. <*> microseconds total spent on critical input interrupts, <*> microseconds max time in a critical input interrupt.",normal
"- 1835 2005.12.01 R72-M0-NF-C:J15-U11 2005-12-01-06.44.56.029154 R72-M0-NF-C:J15-U11 RAS KERNEL INFO 10728 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",E12,"<*> total interrupts. 0 critical input interrupts. <*> microseconds total spent on critical input interrupts, <*> microseconds max time in a critical input interrupt.",normal
- 289 2005.06.14 R20-M0-N3-C:J06-U11 2005-06-14-11.03.08.491655 R20-M0-N3-C:J06-U11 RAS KERNEL FATAL wait state enable.................0,E120,wait state enable.................<*>,normal
- 1519 2005.10.27 R55-M0-N9-C:J06-U11 2005-10-27-23.01.50.720520 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 16 tree receiver 2 in re-synch state event(s) (dcr 0x019a) detected,E13,<*> tree receiver <*> in re-synch state event(s) (dcr <*>) detected,normal
- 1497 2005.10.14 R53-M1-N0-C:J04-U11 2005-10-14-00.04.42.389631 R53-M1-N0-C:J04-U11 RAS KERNEL INFO 4 tree receiver 2 in re-synch state event(s) (dcr 0x019a) detected,E13,<*> tree receiver <*> in re-synch state event(s) (dcr <*>) detected,normal
- 1936 2005.12.03 R55-M0-N9-C:J06-U11 2005-12-03-13.49.47.382429 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 1 tree receiver 1 in re-synch state event(s) (dcr 0x0185) detected over 244 seconds,E14,<*> tree receiver <*> in re-synch state event(s) (dcr <*>) detected over <*> seconds,normal
- 441 2005.06.26 R01-M0-N2-C:J08-U01 2005-06-26-09.33.19.958512 R01-M0-N2-C:J08-U01 RAS KERNEL INFO auxiliary processor.........................0,E15,auxiliary processor.........................<*>,normal
- 442 2005.06.26 R00-M0-NB-C:J09-U01 2005-06-26-09.33.22.839312 R00-M0-NB-C:J09-U01 RAS KERNEL INFO auxiliary processor.........................0,E15,auxiliary processor.........................<*>,normal
- 267 2005.06.14 R21-M1-N6-C:J13-U11 2005-06-14-10.49.44.238733 R21-M1-N6-C:J13-U11 RAS KERNEL FATAL byte ordering exception.....................0,E16,byte ordering exception.....................<*>,normal
- 268 2005.06.14 R20-M1-N8-C:J15-U11 2005-06-14-10.50.09.563848 R20-M1-N8-C:J15-U11 RAS KERNEL FATAL byte ordering exception.....................0,E16,byte ordering exception.....................<*>,normal
- 523 2005.07.01 R37-M1-N4 2005-07-01-11.05.31.120732 R37-M1-N4  DISCOVERY SEVERE Can not get assembly information for node card,E17,Can not get assembly information for node card,normal
- 1229 2005.08.09 R44-M0-N3 2005-08-09-10.47.52.703182 R44-M0-N3  DISCOVERY SEVERE Can not get assembly information for node card,E17,Can not get assembly information for node card,normal
"- 1475 2005.10.03 R23-M0-N8-C:J15-U11 2005-10-03-14.38.18.573730 R23-M0-N8-C:J15-U11 RAS KERNEL INFO CE sym 6, at 0x06ec7a20, mask 0x20",E18,"CE sym <*>, at <*>, mask <*>",normal
"- 57 2005.06.06 R01-M1-NB-C:J03-U11 2005-06-06-08.08.32.984716 R01-M1-NB-C:J03-U11 RAS KERNEL INFO CE sym 20, at 0x01228120, mask 0x10",E18,"CE sym <*>, at <*>, mask <*>",normal
- 69 2005.06.06 R23-M0-N0-I:J18-U01 2005-06-06-19.51.40.376079 R23-M0-N0-I:J18-U01 RAS KERNEL INFO ciod: cpu 0 at treeaddr 438 sent unrecognized message 0xffffffff,E19,ciod: cpu <*> at treeaddr <*> sent unrecognized message <*>,normal
"- 370 2005.06.21 R05-M1-N8-C:J13-U01 2005-06-21-12.24.43.265881 R05-M1-N8-C:J13-U01 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 17, bit 1",E2,"<*> ddr errors(s) detected and corrected on rank <*>, symbol <*>, bit <*>",normal
"- 1692 2005.11.05 R11-M1-N4-C:J03-U01 2005-11-05-11.24.43.382408 R11-M1-N4-C:J03-U01 RAS KERNEL INFO 2 ddr errors(s) detected and corrected on rank 0, symbol 18, bit 6",E2,"<*> ddr errors(s) detected and corrected on rank <*>, symbol <*>, bit <*>",normal
- 622 2005.07.09 R20-M0-N8-I:J18-U01 2005-07-09-04.33.41.091472 R20-M0-N8-I:J18-U01 RAS KERNEL INFO ciod: duplicate canonical-rank 31 to logical-rank 0 mapping at line 3 of node map file /p/gb2/pakin1/sweep3d-5x5x400-10mk-3mmi-1024pes-sweep/sweep.map,E20,ciod: duplicate canonical-rank <*> to logical-rank <*> mapping at line <*> of node map file /<*>,normal
- 623 2005.07.09 R16-M1-NC-I:J18-U11 2005-07-09-04.51.46.753675 R16-M1-NC-I:J18-U11 RAS APP FATAL ciod: Error creating node map from file /p/gb2/pakin1/sweep3d-5x5x400-10mk-3mmi-1024pes-xyzt/xyzt.map: Block device required,E22,ciod: Error creating node map from file <*>: Block device required,normal
- 946 2005.07.14 R01-M0-N0-I:J18-U11 2005-07-14-16.20.22.672549 R01-M0-N0-I:J18-U11 RAS APP FATAL ciod: Error creating node map from file /home/pakin1/sweep3d-2.2b/results/random1-8x32x32x2.map: Permission denied,E24,ciod: Error creating node map from file <*>: Permission denied,normal
"- 1240 2005.08.12 R46-M0-N0-I:J18-U01 2005-08-12-23.27.49.807991 R46-M0-N0-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/scaletest/performance/MINIBEN/mb_243_0810/allreduce.rts: invalid or missing program image, Exec format error",E25,"ciod: Error loading /<*>: invalid or missing program image, Exec format error",normal
"- 1513 2005.10.20 R01-M1-NC-I:J18-U01 2005-10-20-08.03.31.975086 R01-M1-NC-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/new.raptor.trace: invalid or missing program image, Exec format error",E25,"ciod: Error loading /<*>: invalid or missing program image, Exec format error",normal
"- 1479 2005.10.05 R62-M1-N8-I:J18-U01 2005-10-05-04.06.35.463665 R62-M1-N8-I:J18-U01 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/VNM/64K/vnm.rts: invalid or missing program image, Permission denied",E26,"ciod: Error loading /<*>: invalid or missing program image, Permission denied",normal
"- 1491 2005.10.13 R62-M1-N4-I:J18-U11 2005-10-13-05.02.14.653341 R62-M1-N4-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/SPASM/spasm.254: invalid or missing program image, Permission denied",E26,"ciod: Error loading /<*>: invalid or missing program image, Permission denied",normal
"- 1989 2005.12.21 R62-M0-N4-I:J18-U01 2005-12-21-07.27.17.749308 R62-M0-N4-I:J18-U01 RAS APP FATAL ciod: Error loading /g/g24/buber/Yunsic/BlueGene/partad.develf/taddriver.32.exe: program image too big, 361544528 > 266076160",E27,"ciod: Error loading /<*>: program image too big, <*> > <*>",normal
"- 1493 2005.10.13 R73-M0-NC-I:J18-U11 2005-10-13-05.59.09.874956 R73-M0-NC-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/MINIBEN/MB_254_051007/torus-latency.rts: invalid or missing program image, No such file or directory",E28,"ciod: Error loading <*>: invalid or missing program image, No such file or directory",normal
"- 1449 2005.09.20 R73-M1-NC-I:J18-U11 2005-09-20-18.07.46.603480 R73-M1-NC-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/SWL/performance/MINIBEN//bandwidth.rts: invalid or missing program image, No such file or directory",E28,"ciod: Error loading <*>: invalid or missing program image, No such file or directory",normal
- 469 2005.06.29 R36-M1-N1-C:J05-U01 2005-06-29-18.13.08.381268 R36-M1-N1-C:J05-U01 RAS KERNEL INFO 344040 double-hummer alignment exceptions,E3,<*> double-hummer alignment exceptions,normal
- 1333 2005.08.28 R72-M1-NA-C:J04-U11 2005-08-28-02.00.10.847914 R72-M1-NA-C:J04-U11 RAS KERNEL INFO 147337410 double-hummer alignment exceptions,E3,<*> double-hummer alignment exceptions,normal
- 1265 2005.08.18 R71-M1-N8-I:J18-U01 2005-08-18-12.43.47.536288 R71-M1-N8-I:J18-U01 RAS KERNEL INFO ciod: generated 64 core files for program /bgl/apps/swl-prep/ibm-swl/functional/sppm_chkpt/run/sppm,E34,ciod: generated <*> core files for program <*>,normal
- 1767 2005.11.20 R06-M1-N8-I:J18-U01 2005-11-20-21.04.47.799840 R06-M1-N8-I:J18-U01 RAS KERNEL INFO ciod: generated 128 core files for program /g/g90/glosli/src/ddcMD/ddcMD1.1.18a/bin/ddcMDbglV,E34,ciod: generated <*> core files for program <*>,normal
"- 1394 2005.09.08 R62-M1-NC-I:J18-U11 2005-09-08-13.38.26.477794 R62-M1-NC-I:J18-U11 RAS KERNEL INFO ciod: In packet from node 91.0 (R62-M1-Nf-C:J03-U11), message code 2 is not 3 or 4294967295 (softheader=003b005b 00030000 00000001 00000000)",E35,"ciod: In packet from node <*>.<*> (<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)",normal
- 1254 2005.08.13 R27-M1-NC-I:J18-U11 2005-08-13-13.54.16.386775 R27-M1-NC-I:J18-U11 RAS APP FATAL ciod: LOGIN chdir(pwd) failed: No such file or directory,E37,ciod: LOGIN chdir(<*>) failed: No such file or directory,normal
- 1279 2005.08.23 R50-M1-N0-I:J18-U11 2005-08-23-04.54.28.532357 R50-M1-N0-I:J18-U11 RAS APP FATAL ciod: LOGIN chdir(/home/germann2/BGL-demo) failed: No such file or directory,E37,ciod: LOGIN chdir(<*>) failed: No such file or directory,normal
- 165 2005.06.13 R22-M0-NC-I:J18-U01 2005-06-13-14.57.30.126106 R22-M0-NC-I:J18-U01 RAS KERNEL INFO ciod: Message code 0 is not 51 or 4294967295,E38,ciod: Message code <*> is not <*> or <*>,normal
- 1258 2005.08.15 R40-M1-N0-I:J18-U11 2005-08-15-11.51.36.375271 R40-M1-N0-I:J18-U11 RAS KERNEL INFO ciod: Missing or invalid fields on line 1 of node map file /home/auselton/bgl/mapfiles/bgl.128mps.f64.map,E39,ciod: Missing or invalid fields on line <*> of node map file /<*>,normal
- 1609 2005.11.03 R12-M0-NB-C:J13-U01 2005-11-03-16.29.28.796896 R12-M0-NB-C:J13-U01 RAS KERNEL INFO 2354412 floating point alignment exceptions,E4,<*> floating point alignment exceptions,normal
- 1127 2005.07.23 R17-M0-NF-C:J04-U01 2005-07-23-17.44.10.520225 R17-M0-NF-C:J04-U01 RAS KERNEL INFO 5 floating point alignment exceptions,E4,<*> floating point alignment exceptions,normal
- 1393 2005.09.08 R63-M1-NC-I:J18-U11 2005-09-08-13.38.11.467298 R63-M1-NC-I:J18-U11 RAS KERNEL INFO ciod: pollControlDescriptors: Detected the debugger died.,E40,ciod: pollControlDescriptors: Detected the debugger died.,normal
- 1987 2005.12.19 R77-M1-NC-I:J18-U01 2005-12-19-19.51.38.151363 R77-M1-NC-I:J18-U01 RAS KERNEL INFO ciod: pollControlDescriptors: Detected the debugger died.,E40,ciod: pollControlDescriptors: Detected the debugger died.,normal
"- 1762 2005.11.18 R02-M1-NC-I:J18-U01 2005-11-18-05.35.35.752458 R02-M1-NC-I:J18-U01 RAS KERNEL INFO ciod: Received signal 15, code=0, errno=0, address=0x000001b0",E41,"ciod: Received signal <*>, code=<*>, errno=<*>, address=<*>",normal
"- 1801 2005.11.29 R21-M0-N8-I:J18-U01 2005-11-29-15.18.46.642475 R21-M0-N8-I:J18-U01 RAS KERNEL INFO ciod: Received signal 15, code=0, errno=0, address=0x000001f2",E41,"ciod: Received signal <*>, code=<*>, errno=<*>, address=<*>",normal
- 947 2005.07.14 R23-M0-N0-I:J18-U01 2005-07-14-23.18.19.684786 R23-M0-N0-I:J18-U01 RAS KERNEL INFO ciod: Z coordinate 32 exceeds physical dimension 32 at line 33 of node map file /p/gb2/pakin1/contention-32768cpes-torus/xyzt-1x1x32768x1.map,E42,ciod: Z coordinate <*> exceeds physical dimension <*> at line <*> of node map file /<*>,normal
- 308 2005.06.14 R21-M0-ND-C:J17-U11 2005-06-14-11.30.39.961375 R21-M0-ND-C:J17-U11 RAS KERNEL FATAL core configuration register: 0x00002000,E43,core configuration register: <*>,normal
- 272 2005.06.14 R26-M0-NF-C:J15-U01 2005-06-14-10.52.08.434393 R26-M0-NF-C:J15-U01 RAS KERNEL FATAL core configuration register: 0x00002000,E43,core configuration register: <*>,normal
"- 1751 2005.11.15 R05-M0-NC-C:J04-U11 2005-11-15-05.41.23.201247 R05-M0-NC-C:J04-U11 RAS KERNEL INFO critical input interrupt (unit=0x0b bit=0x0a): warning for torus z+ wire, suppressing further interrupts of same type",E46,"critical input interrupt (unit=<*> bit=<*>): warning for torus z+ wire, suppressing further interrupts of same type",normal
"- 1978 2005.12.14 R42-M1-N2-C:J03-U11 2005-12-14-15.03.14.212440 R42-M1-N2-C:J03-U11 RAS KERNEL INFO critical input interrupt (unit=0x0b bit=0x0a): warning for torus z+ wire, suppressing further interrupts of same type",E46,"critical input interrupt (unit=<*> bit=<*>): warning for torus z+ wire, suppressing further interrupts of same type",normal
"- 1950 2005.12.06 R01-M0-N0-C:J04-U01 2005-12-06-16.04.30.188673 R01-M0-N0-C:J04-U01 RAS KERNEL INFO critical input interrupt (unit=0x0b bit=0x17): warning for tree C1 wire, suppressing further interrupts of same type",E47,"critical input interrupt (unit=<*> bit=<*>): warning for tree C1 wire, suppressing further interrupts of same type",normal
- 303 2005.06.14 R25-M1-NF-C:J16-U11 2005-06-14-11.29.10.800711 R25-M1-NF-C:J16-U11 RAS KERNEL FATAL data address space................0,E49,data address space................<*>,normal
- 269 2005.06.14 R27-M1-N9-C:J03-U01 2005-06-14-10.51.09.848118 R27-M1-N9-C:J03-U01 RAS KERNEL FATAL data address space................0,E49,data address space................<*>,normal
- 219 2005.06.14 R20-M1-N7-C:J16-U01 2005-06-14-09.55.11.455484 R20-M1-N7-C:J16-U01 RAS KERNEL FATAL data address: 0x00000002,E50,data address: <*>,normal
- 238 2005.06.14 R21-M1-N4-C:J10-U01 2005-06-14-10.21.45.802128 R21-M1-N4-C:J10-U01 RAS KERNEL FATAL data address: 0x00000002,E50,data address: <*>,normal
- 1507 2005.10.17 R02-M0-N4-C:J04-U11 2005-10-17-05.31.45.435674 R02-M0-N4-C:J04-U11 RAS KERNEL INFO data cache search parity error detected. attempting to correct,E51,data cache search parity error detected. attempting to correct,normal
- 1503 2005.10.17 R02-M0-N4-C:J04-U11 2005-10-17-05.02.27.161242 R02-M0-N4-C:J04-U11 RAS KERNEL INFO data cache search parity error detected. attempting to correct,E51,data cache search parity error detected. attempting to correct,normal
- 454 2005.06.26 R05-M0-N5-C:J09-U11 2005-06-26-10.38.02.680379 R05-M0-N5-C:J09-U11 RAS KERNEL INFO data store interrupt caused by dcbf.........0,E53,data store interrupt caused by dcbf.........<*>,normal
- 241 2005.06.14 R26-M0-NA-C:J04-U11 2005-06-14-10.26.31.242578 R26-M0-NA-C:J04-U11 RAS KERNEL FATAL data store interrupt caused by dcbf.........0,E53,data store interrupt caused by dcbf.........<*>,normal
- 439 2005.06.26 R05-M0-NE-C:J05-U01 2005-06-26-09.32.08.442047 R05-M0-NE-C:J05-U01 RAS KERNEL INFO data store interrupt caused by icbi.........0,E54,data store interrupt caused by icbi.........<*>,normal
- 255 2005.06.14 R21-M1-N4-C:J17-U11 2005-06-14-10.43.09.420211 R21-M1-N4-C:J17-U11 RAS KERNEL FATAL data store interrupt caused by icbi.........0,E54,data store interrupt caused by icbi.........<*>,normal
- 1787 2005.11.24 R03-M1-NF-C:J07-U01 2005-11-24-06.07.56.407913 R03-M1-NF-C:J07-U01 RAS KERNEL FATAL dbcr0=0x00000000 dbsr=0x00000000 ccr0=0x40002000,E56,dbcr0=<*> dbsr=<*> ccr0=<*>,normal
- 265 2005.06.14 R27-M1-N8-C:J09-U11 2005-06-14-10.48.22.614188 R27-M1-N8-C:J09-U11 RAS KERNEL FATAL debug interrupt enable............0,E57,debug interrupt enable............<*>,normal
- 1031 2005.07.18 R00-M1-N5-C:J03-U11 2005-07-18-16.02.26.154455 R00-M1-N5-C:J03-U11 RAS KERNEL FATAL debug wait enable.................0,E58,debug wait enable.................<*>,normal
- 313 2005.06.14 R25-M1-N8-C:J03-U11 2005-06-14-11.34.02.588297 R25-M1-N8-C:J03-U11 RAS KERNEL FATAL disable store gathering..................0,E59,disable store gathering..................<*>,normal
- 311 2005.06.14 R20-M1-NA-C:J04-U01 2005-06-14-11.32.21.174785 R20-M1-NA-C:J04-U01 RAS KERNEL FATAL disable store gathering..................0,E59,disable store gathering..................<*>,normal
- 232 2005.06.14 R27-M1-NA-C:J16-U11 2005-06-14-10.18.50.161104 R27-M1-NA-C:J16-U11 RAS KERNEL FATAL exception syndrome register: 0x00800000,E61,exception syndrome register: <*>,normal
- 234 2005.06.14 R26-M0-N0-C:J04-U11 2005-06-14-10.19.22.998644 R26-M0-N0-C:J04-U11 RAS KERNEL FATAL exception syndrome register: 0x00800000,E61,exception syndrome register: <*>,normal
- 258 2005.06.14 R27-M0-N2-C:J12-U11 2005-06-14-10.43.27.316459 R27-M0-N2-C:J12-U11 RAS KERNEL FATAL floating point instr. enabled.....1,E62,floating point instr. enabled.....<*>,normal
- 257 2005.06.14 R26-M1-NF-C:J11-U11 2005-06-14-10.43.21.582308 R26-M1-NF-C:J11-U11 RAS KERNEL FATAL floating point instr. enabled.....1,E62,floating point instr. enabled.....<*>,normal
- 263 2005.06.14 R26-M0-N5-C:J11-U11 2005-06-14-10.45.15.849740 R26-M0-N5-C:J11-U11 RAS KERNEL FATAL floating pt ex mode 0 enable......0,E63,floating pt ex mode <*> enable......<*>,normal
- 266 2005.06.14 R26-M1-N6-C:J05-U01 2005-06-14-10.48.50.649332 R26-M1-N6-C:J05-U01 RAS KERNEL FATAL floating pt ex mode 1 enable......0,E63,floating pt ex mode <*> enable......<*>,normal
- 32 2005.06.05 R30-M1-N3-C:J02-U01 2005-06-05-08.10.46.344235 R30-M1-N3-C:J02-U01 RAS KERNEL FATAL force load/store alignment...............0,E64,force load/store alignment...............<*>,normal
- 1990 2005.12.25 R62-M1-NA-C:J04-U01 2005-12-25-22.47.15.963417 R62-M1-NA-C:J04-U01 RAS KERNEL FATAL fpr29=0xffffffff ffffffff ffffffff ffffffff,E65,fpr29=<*>,normal
- 519 2005.07.01 R14-M1-NE-C:J14-U11 2005-07-01-04.25.26.994401 R14-M1-NE-C:J14-U11 RAS KERNEL INFO generating core.332,E67,generating core.<*>,normal
- 717 2005.07.09 R27-M0-N1-C:J05-U01 2005-07-09-13.17.00.152550 R27-M0-N1-C:J05-U01 RAS KERNEL INFO generating core.23259,E67,generating core.<*>,normal
- 275 2005.06.14 R26-M1-ND-C:J05-U11 2005-06-14-10.57.03.800229 R26-M1-ND-C:J05-U11 RAS KERNEL FATAL guaranteed instruction cache block touch.0,E69,guaranteed instruction cache block touch.<*>,normal
- 276 2005.06.14 R26-M0-N8-C:J03-U01 2005-06-14-10.57.27.640707 R26-M0-N8-C:J03-U01 RAS KERNEL FATAL guaranteed instruction cache block touch.0,E69,guaranteed instruction cache block touch.<*>,normal
- 1927 2005.12.01 R24-M0-N9-C:J10-U11 2005-12-01-08.47.40.003136 R24-M0-N9-C:J10-U11 RAS KERNEL INFO 0 microseconds spent in the rbs signal handler during 0 calls. 0 microseconds was the maximum time for a single instance of a correctable ddr.,E7,<*> microseconds spent in the rbs signal handler during <*> calls. <*> microseconds was the maximum time for a single instance of a correctable ddr.,normal
- 1845 2005.12.01 R44-M0-N3-C:J06-U01 2005-12-01-06.47.46.598443 R44-M0-N3-C:J06-U01 RAS KERNEL INFO 0 microseconds spent in the rbs signal handler during 0 calls. 0 microseconds was the maximum time for a single instance of a correctable ddr.,E7,<*> microseconds spent in the rbs signal handler during <*> calls. <*> microseconds was the maximum time for a single instance of a correctable ddr.,normal
- 1548 2005.11.03 R66-M1-N8-C:J12-U01 2005-11-03-14.50.49.805068 R66-M1-N8-C:J12-U01 RAS KERNEL INFO iar 00106228 dear 0244c1ec,E70,iar <*> dear <*>,normal
- 1645 2005.11.04 R62-M0-N6-C:J05-U11 2005-11-04-10.01.59.090723 R62-M0-N6-C:J05-U11 RAS KERNEL INFO iar 0010671c dear 0245b72c,E70,iar <*> dear <*>,normal
- 287 2005.06.14 R27-M0-N1-C:J08-U11 2005-06-14-11.02.02.749469 R27-M0-N1-C:J08-U11 RAS KERNEL FATAL icache prefetch threshold................0,E72,icache prefetch threshold................<*>,normal
- 286 2005.06.14 R27-M0-N1-C:J15-U01 2005-06-14-11.02.02.534437 R27-M0-N1-C:J15-U01 RAS KERNEL FATAL icache prefetch threshold................0,E72,icache prefetch threshold................<*>,normal
